#==============================================================================
# diaginfo.dat: Created by GEOS-CHEM at 2018/05/09 18:08
#
# ****** CUSTOMIZED FOR NOx-Ox-Hydrocarbon-Aerosol SIMULATION *****
#
# This file contains category names and the offsets which they are stored
# in file "tracerinfo.dat".  This file is read into GAMAP by routine
# "ctm_diaginfo.pro".
#
# File Format:
# -----------------------------------------------------------------------------
# OFFSET    (I8 )  Constant to add to tracer numbers in order to distinguish
#                  for the given diagnostic category, as stored in file
#                  "tracerinfo.dat".  OFFSET may be up to 8 digits long.
#  --       (1X )  1-character spacer
# CATEGORY  (A40)  Category name for CTM diagnostics. NOTE: The category name
#                  can be up to 40 chars long, but historically the GEOS-CHEM
#                  and GISS models have used an 8-character category name.
# COMMENT   (A  )  Descriptive comment string
#
#  --       (1X )  1-character spacer
#
##### SPACING BETWEEN DIAGNOSTIC CATEGORY OFFSETS =     1000
#==============================================================================
       0 IJ-AVG-$                                 Tracer concentration                    
   49000 SNOW-HG                                  Reducible Hg mass in ocean snow and ice 
   50000 SNOW-HGN                                 Non-reducible Hg mass in ocean snow and 
   51000 SNHG-LN                                  Reducible Hg mass in land snow and ice  
   52000 SNHGN-LN                                 Non-reducible Hg mass in snow and ice   
   57000 THETA-$                                  Potential temperature                   
   50000 CH4-EMIS                                 CH4 Emissions                           
   51000 WET-FRAC                                 Wetland Fraction                        
   59000 SHIP-$$$                                 Ship diagnostics                        
   60000 RST-SOIL                                 Soil NOx restart file                   
   52000 PG-SRCE                                  POPs Emissions                          
   53000 PG-PP-$                                  POP partitioning/oxidation              
   54000 FJX-FLX$                                 Radiative flux from FAST-JX             
   55000 IJ-PSC-$                                 PSC restart file                        
   72000 RADMAP-$                                 Radiative diagnostics                   
   85000 ISOROP-$                                 ISORROPIA pH and H+                     
   50000 IJ-CHK-$                                 Species concentrations after chemistry  
